First Name,Last Name,Full Name,District (Constituency),Province/Territory,Party,Email
Giovanna,Mingarelli,Giovanna Mingarelli,Prescott—Russell—Cumberland,Ontario,Liberal,giovanna.mingarelli@parl.gc.ca
Rob,Moore,Rob Moore,Fundy Royal,New Brunswick,Conservative,rob.moore@parl.gc.ca
Billy,Morin,Billy Morin,Edmonton Northwest,Alberta,Conservative,billy.morin@parl.gc.ca
Rob,Morrison,Rob Morrison,Columbia—Kootenay—Southern Rockies,British Columbia,Conservative,rob.morrison@parl.gc.ca
Robert,Morrissey,Robert Morrissey,Egmont,Prince Edward Island,Liberal,robert.morrissey@parl.gc.ca
Glen,Motz,Glen Motz,Medicine Hat—Cardston—Warner,Alberta,Conservative,glen.motz@parl.gc.ca
Dan,Muys,Dan Muys,Flamborough—Glanbrook—Brant North,Ontario,Conservative,dan.muys@parl.gc.ca
David,Myles,David Myles,Fredericton—Oromocto,New Brunswick,Liberal,david.myles@parl.gc.ca
Marie-Gabrielle,Ménard,Marie-Gabrielle Ménard,Hochelaga—Rosemont-Est,Quebec,Liberal,Marie-Gabrielle.Menard@parl.gc.ca
Yasir,Naqvi,Yasir Naqvi,Ottawa Centre,Ontario,Liberal,yasir.naqvi@parl.gc.ca
John,Nater,John Nater,Perth—Wellington,Ontario,Conservative,john.nater@parl.gc.ca
Juanita,Nathan,Juanita Nathan,Pickering—Brooklin,Ontario,Liberal,juanita.nathan@parl.gc.ca
Vincent,Neil Ho,Vincent Neil Ho,Richmond Hill South,Ontario,Conservative,vincent.neilho@parl.gc.ca
Chi,Nguyen,Chi Nguyen,Spadina—Harbourfront,Ontario,Liberal,chi.nguyen@parl.gc.ca
Taleeb,Noormohamed,Taleeb Noormohamed,Vancouver Granville,British Columbia,Liberal,taleeb.noormohamed@parl.gc.ca
Christine,Normandin,Christine Normandin,Saint-Jean,Quebec,Bloc Québécois,christine.normandin@parl.gc.ca
Bienvenu-Olivier,Ntumba,Bienvenu-Olivier Ntumba,Mont-Saint-Bruno—L'Acadie,Quebec,Liberal,Bienvenu-Olivier.Ntumba@parl.gc.ca
Dominique,O'Rourke,Dominique O'Rourke,Guelph,Ontario,Liberal,dominique.orourke@parl.gc.ca
Robert,Oliphant,Robert Oliphant,Don Valley West,Ontario,Liberal,robert.oliphant@parl.gc.ca
Eleanor,Olszewski,Eleanor Olszewski,Edmonton Centre,Alberta,Liberal,eleanor.olszewski@parl.gc.ca
Tom,Osborne,Tom Osborne,Cape Spear,Newfoundland and Labrador,Liberal,tom.osborne@parl.gc.ca
Jeremy,Patzer,Jeremy Patzer,Swift Current—Grasslands—Kindersley,Saskatchewan,Conservative,jeremy.patzer@parl.gc.ca
Pierre,Paul-Hus,Pierre Paul-Hus,Charlesbourg—Haute-Saint-Charles,Quebec,Conservative,Pierre.Paul-Hus@parl.gc.ca
Yves,Perron,Yves Perron,Berthier—Maskinongé,Quebec,Bloc Québécois,yves.perron@parl.gc.ca
Ginette,Petitpas Taylor,Ginette Petitpas Taylor,Moncton—Dieppe,New Brunswick,Liberal,ginette.petitpastaylor@parl.gc.ca
Louis,Plamondon,Louis Plamondon,Bécancour—Nicolet—Saurel—Alnôbak,Quebec,Bloc Québécois,louis.plamondon@parl.gc.ca
Pierre,Poilievre,Pierre Poilievre,Battle River—Crowfoot,Alberta,Conservative,pierre.poilievre@parl.gc.ca
Marcus,Powlowski,Marcus Powlowski,Thunder Bay—Rainy River,Ontario,Liberal,marcus.powlowski@parl.gc.ca
Nathalie,Provost,Nathalie Provost,Châteauguay—Les Jardins-de-Napierville,Quebec,Liberal,nathalie.provost@parl.gc.ca
Jacques,Ramsay,Jacques Ramsay,La Prairie—Atateken,Quebec,Liberal,jacques.ramsay@parl.gc.ca
Aslam,Rana,Aslam Rana,Hamilton Centre,Ontario,Liberal,aslam.rana@parl.gc.ca
Brad,Redekopp,Brad Redekopp,Saskatoon West,Saskatchewan,Conservative,brad.redekopp@parl.gc.ca
Scott,Reid,Scott Reid,Lanark—Frontenac,Ontario,Conservative,scott.reid@parl.gc.ca
Michelle,Rempel Garner,Michelle Rempel Garner,Calgary Nose Hill,Alberta,Conservative,michelle.rempelgarner@parl.gc.ca
Colin,Reynolds,Colin Reynolds,Elmwood—Transcona,Manitoba,Conservative,colin.reynolds@parl.gc.ca
Blake,Richards,Blake Richards,Airdrie—Cochrane,Alberta,Conservative,blake.richards@parl.gc.ca
Anna,Roberts,Anna Roberts,King—Vaughan,Ontario,Conservative,anna.roberts@parl.gc.ca
Gregor,Robertson,Gregor Robertson,Vancouver Fraserview—South Burnaby,British Columbia,Liberal,gregor.robertson@parl.gc.ca
Pauline,Rochefort,Pauline Rochefort,Nipissing—Timiskaming,Ontario,Liberal,pauline.rochefort@parl.gc.ca
Sherry,Romanado,Sherry Romanado,Longueuil—Charles-LeMoyne,Quebec,Liberal,sherry.romanado@parl.gc.ca
Lianne,Rood,Lianne Rood,Middlesex—London,Ontario,Conservative,lianne.rood@parl.gc.ca
Ellis,Ross,Ellis Ross,Skeena—Bulkley Valley,British Columbia,Conservative,ellis.ross@parl.gc.ca
Jonathan,Rowe,Jonathan Rowe,Terra Nova—The Peninsulas,Newfoundland and Labrador,Conservative,jonathan.rowe@parl.gc.ca
Zoe,Royer,Zoe Royer,Port Moody—Coquitlam,British Columbia,Liberal,zoe.royer@parl.gc.ca
Alex,Ruff,Alex Ruff,Bruce—Grey—Owen Sound,Ontario,Conservative,alex.ruff@parl.gc.ca
Amanpreet,S. Gill,Amanpreet S. Gill,Calgary Skyview,Alberta,Conservative,amanpreet.gill@parl.gc.ca
Ruby,Sahota,Ruby Sahota,Brampton North—Caledon,Ontario,Liberal,ruby.sahota@parl.gc.ca
Gurbux,Saini,Gurbux Saini,Fleetwood—Port Kells,British Columbia,Liberal,gurbux.saini@parl.gc.ca
Randeep,Sarai,Randeep Sarai,Surrey Centre,British Columbia,Liberal,randeep.sarai@parl.gc.ca
Abdelhaq,Sari,Abdelhaq Sari,Bourassa,Quebec,Liberal,abdelhaq.sari@parl.gc.ca
Simon-Pierre,Savard-Tremblay,Simon-Pierre Savard-Tremblay,Saint-Hyacinthe—Bagot—Acton,Quebec,Bloc Québécois,Simon-Pierre.Savard-Tremblay@parl.gc.ca
Jake,Sawatzky,Jake Sawatzky,New Westminster—Burnaby—Maillardville,British Columbia,Liberal,jake.sawatzky@parl.gc.ca
Francis,Scarpaleggia,Francis Scarpaleggia,Lac-Saint-Louis,Quebec,Liberal,francis.scarpaleggia@parl.gc.ca
Andrew,Scheer,Andrew Scheer,Regina—Qu'Appelle,Saskatchewan,Conservative,andrew.scheer@parl.gc.ca
Peter,Schiefke,Peter Schiefke,Vaudreuil,Quebec,Liberal,peter.schiefke@parl.gc.ca
Jamie,Schmale,Jamie Schmale,Haliburton—Kawartha Lakes,Ontario,Conservative,jamie.schmale@parl.gc.ca
Kyle,Seeback,Kyle Seeback,Dufferin—Caledon,Ontario,Conservative,kyle.seeback@parl.gc.ca
Terry,Sheehan,Terry Sheehan,Sault Ste. Marie—Algoma,Ontario,Liberal,terry.sheehan@parl.gc.ca
Doug,Shipley,Doug Shipley,Barrie—Springwater—Oro-Medonte,Ontario,Conservative,doug.shipley@parl.gc.ca
Maninder,Sidhu,Maninder Sidhu,Brampton East,Ontario,Liberal,maninder.sidhu@parl.gc.ca
Sonia,Sidhu,Sonia Sidhu,Brampton South,Ontario,Liberal,sonia.sidhu@parl.gc.ca
Mario,Simard,Mario Simard,Jonquière,Quebec,Bloc Québécois,mario.simard@parl.gc.ca
Jagsharan,Singh Mahal,Jagsharan Singh Mahal,Edmonton Southeast,Alberta,Conservative,jagsharan.singhmahal@parl.gc.ca
Clifford,Small,Clifford Small,Central Newfoundland,Newfoundland and Labrador,Conservative,clifford.small@parl.gc.ca
Amandeep,Sodhi,Amandeep Sodhi,Brampton Centre,Ontario,Liberal,amandeep.sodhi@parl.gc.ca
Evan,Solomon,Evan Solomon,Toronto Centre,Ontario,Liberal,evan.solomon@parl.gc.ca
Charles,Sousa,Charles Sousa,Mississauga—Lakeshore,Ontario,Liberal,charles.sousa@parl.gc.ca
Eric,St-Pierre,Eric St-Pierre,Honoré-Mercier,Quebec,Liberal,Eric.St-Pierre@parl.gc.ca
Gabriel,Ste-Marie,Gabriel Ste-Marie,Joliette—Manawan,Quebec,Bloc Québécois,Gabriel.Ste-Marie@parl.gc.ca
Warren,Steinley,Warren Steinley,Regina—Lewvan,Saskatchewan,Conservative,warren.steinley@parl.gc.ca
William,Stevenson,William Stevenson,Yellowhead,Alberta,Conservative,william.stevenson@parl.gc.ca
Mark,Strahl,Mark Strahl,Chilliwack—Hope,British Columbia,Conservative,mark.strahl@parl.gc.ca
Matt,Strauss,Matt Strauss,Kitchener South—Hespeler,Ontario,Conservative,matt.strauss@parl.gc.ca
Shannon,Stubbs,Shannon Stubbs,Lakeland,Alberta,Conservative,shannon.stubbs@parl.gc.ca
Jenna,Sudds,Jenna Sudds,Kanata,Ontario,Liberal,jenna.sudds@parl.gc.ca
Kristina,Tesser Derksen,Kristina Tesser Derksen,Milton East—Halton Hills South,Ontario,Liberal,kristina.tesserderksen@parl.gc.ca
Rachael,Thomas,Rachael Thomas,Lethbridge,Alberta,Conservative,rachael.thomas@parl.gc.ca
Joanne,Thompson,Joanne Thompson,St. John's East,Newfoundland and Labrador,Liberal,joanne.thompson@parl.gc.ca
Luc,Thériault,Luc Thériault,Montcalm,Quebec,Bloc Québécois,luc.theriault@parl.gc.ca
Corey,Tochor,Corey Tochor,Saskatoon—University,Saskatchewan,Conservative,corey.tochor@parl.gc.ca
Fraser,Tolmie,Fraser Tolmie,Moose Jaw—Lake Centre—Lanigan,Saskatchewan,Conservative,fraser.tolmie@parl.gc.ca
Ryan,Turnbull,Ryan Turnbull,Whitby,Ontario,Liberal,ryan.turnbull@parl.gc.ca
Tim,Uppal,Tim Uppal,Edmonton Gateway,Alberta,Conservative,tim.uppal@parl.gc.ca
Rechie,Valdez,Rechie Valdez,Mississauga—Streetsville,Ontario,Liberal,rechie.valdez@parl.gc.ca
Tako,Van Popta,Tako Van Popta,Langley Township—Fraser Heights,British Columbia,Conservative,tako.vanpopta@parl.gc.ca
Anita,Vandenbeld,Anita Vandenbeld,Ottawa West—Nepean,Ontario,Liberal,anita.vandenbeld@parl.gc.ca
Dominique,Vien,Dominique Vien,Bellechasse—Les Etchemins—Lévis,Quebec,Conservative,dominique.vien@parl.gc.ca
Arnold,Viersen,Arnold Viersen,Peace River—Westlock,Alberta,Conservative,arnold.viersen@parl.gc.ca
Louis,Villeneuve,Louis Villeneuve,Brome—Missisquoi,Quebec,Liberal,louis.villeneuve@parl.gc.ca
Brad,Vis,Brad Vis,Mission—Matsqui—Abbotsford,British Columbia,Conservative,brad.vis@parl.gc.ca
Cathay,Wagantall,Cathay Wagantall,Yorkton—Melville,Saskatchewan,Conservative,cathay.wagantall@parl.gc.ca
Kevin,Waugh,Kevin Waugh,Saskatoon—Grasswood,Saskatchewan,Conservative,kevin.waugh@parl.gc.ca
Len,Webber,Len Webber,Calgary—Rocky Ridge,Alberta,Conservative,len.webber@parl.gc.ca
Ryan,Williams,Ryan Williams,Bay of Quinte—Peterborough South,Ontario,Conservative,ryan.williams@parl.gc.ca
Kate,Young,Kate Young,London West,Ontario,Liberal,kate.young@parl.gc.ca
David,Yurdiga,David Yurdiga,Fort McMurray—Lakeland,Alberta,Conservative,david.yurdiga@parl.gc.ca
Bob,Zimmer,Bob Zimmer,Prince George—Peace River—Northern Rockies,British Columbia,Conservative,bob.zimmer@parl.gc.ca
Sameer,Zuberi,Sameer Zuberi,Pierrefonds—Dollard,Quebec,Liberal,sameer.zuberi@parl.gc.ca
Chris,d'Entremont,Chris d'Entremont,Acadie—Annapolis,Nova Scotia,Liberal,chris.dentremont@parl.gc.ca
Adam,van Koeverden,Adam van Koeverden,Burlington North—Milton West,Ontario,Liberal,adam.vankoeverden@parl.gc.ca
Rhéal,Éloi Fortin,Rhéal Éloi Fortin,Rivière-du-Nord,Quebec,Bloc Québécois,rheal.eloifortin@parl.gc.ca
